original_contract_address,gas_original,gas_reexecute,deploy_time,total_number_re_execution,success_re_execution,re_execution_time,function_count,source_code_length,patch_time,bytecode_size,increased_bytecode_size,re_execution_time_original,re_execution_time_patched,total_gas_original,total_gas_re_execute
0x3f995ef6b569d2f988f7d94062b9d3a00c967ac5,37912,56249,226,7,7,29,22,313,0.6716251373,6054,168,0,0,0,0
0x4cb5877469fe0e7b5f0aaaa69e84110bcdafc3d5,113831,148754,227,40,40,224,20,383,0.8218288422,4499,275,0,0,0,0
0x2ec7a973f364727b635636573c320f591f32f6d9,47164,71723,229,42,42,194,28,586,0.1206724644,4588,342,0,0,0,0
0x2b37849DBf48165400BB6dFE629f972030bf207e,38772,63727,229,7,7,35,23,557,1.062393188,3637,272,0,0,0,0
0x2f5d65f2cc76fa248cced6a91f09291e8d8f639c,50361,60928,230,4,4,35,17,289,0.06001138687,3694,172,0,0,0,0
0x4ec0e007f514904267fef8e9291feec2a9839964,227525,254762,230,14,14,60,28,591,0.1247763634,4785,277,0,0,0,0
0x0289dfBD55567758a8a92CE517009e0b6f06E6Bc,46543,72836,230,172,172,729,30,587,1.119613647,4867,263,0,0,0,0
0x2b0650979bf4811b6685307952be66a67aea2290,87644,112627,230,70,70,352,20,394,1.127243042,4484,248,0,0,0,0
0x2e9955fdD6ad455A0aF0abEF6aFc1Dd7d218f55a,119599,123546,231,45,45,194,22,26,0.05578994751,4330,151,0,0,0,0
0x4DEf2C3b8f5406948a179410313e2CdCdE756978,42750,69132,231,64,64,329,30,585,0.09293985367,4770,320,0,0,0,0
0x03B48BA08EA58601147607188B9f6c9eBe4E5e03,91131,99783,231,980,980,4472,38,80,0.1525878906,7629,275,0,0,0,0
0x3cce4db960f037fb097ee8e8881bf6f9667515a4,45077,56966,231,10,10,50,17,562,1.071929932,2178,152,0,0,0,0
0x3db932023b4fc1dd6adbf56c659d452686b8c6c1,45897,60885,231,40,40,120,41,687,5.568981171,9327,256,0,0,0,0
0x2ce953d06BA7304c7a37B4DD32030018a878AFEC,207200,228844,232,17,17,169,21,26,0.07849025726,4107,212,0,0,0,0
0x4cB4357Fc7B8a965854dd41A72668a3Bd020ad5d,37877,55719,232,39,39,195,17,136,0.2918243408,3538,122,0,0,0,0
0x2d129Eb56b24f3101400B538C12D1A7298F462Ab,128138,158556,232,34,34,138,17,367,0.6999969482,3911,232,0,0,0,0
0x4ceaa66ad75a601bf0754a0c64728a8c5f2c5fc4,220229,263694,232,16,16,77,20,381,0.8175373077,4458,248,0,0,0,0
0x0441429bbe613ced447881b1bce1e073fe300b23,45072,74331,232,18,18,99,31,588,1.121520996,5117,270,0,0,0,0
0x2f1552bc7baf2a3832921972f080072a73895266,44897,56249,232,18,18,93,30,599,1.713752747,4795,320,0,0,0,0
