contract_address,TX1 Trace Length,TX1 SSTORE Count,TX1 CALL Count,TX2 Trace Length,TX2 SSTORE Count,TX2 CALL Count,TX3 Trace Length,TX3 SSTORE Count,TX3 CALL Count,TX1 Original Trace Length,TX1 Original SSTORE Count,TX1 Original CALL Count,TX2 Original Trace Length,TX2 Original SSTORE Count,TX2 Original CALL Count,TX3 Original Trace Length,TX3 Original SSTORE Count,TX3 Original CALL Count,Tx1 Trace Diff ( original - patched),Tx2 Trace Diff,Tx3 Trace Diff,Tx1 SSTORE Diff,Tx2 SSTORE Diff,Tx3 SSTORE Diff,Tx1 Call Diff,Tx2 Call Diff,Tx3 Call Diff
0x00A8097A78893Fb4623854d78f154b1034245191,632,1,2,635,3,2,397,0,0,638,3,2,635,3,2,397,0,0,6,0,0,2,0,0,0,0,0
0x4d7968ebfD390D5E7926Cb3587C39eFf2F9FB225,690,3,2,691,4,3,543,0,0,694,4,2,691,4,3,543,0,0,4,0,0,1,0,0,0,0,0
0x0ECa569e1698FDDe4F47D9a55A77C7Eb93D2F6f3,294,1,2,292,3,2,247,0,0,300,3,2,292,3,2,247,0,0,6,0,0,2,0,0,0,0,0
0xC598Cc8Ee852368826BBfDC8eFcB16a756E8FC66,131,1,2,138,3,3,138,0,2,141,3,2,138,3,3,138,0,2,10,0,0,2,0,0,0,0,0
0x60aD532f956B48D7f9Fae3C1398197295f2F48E6,609,2,2,614,4,3,62,0,1,617,4,2,614,4,3,62,0,1,8,0,0,2,0,0,0,0,0
0x379b1585592D513F7435060A0A5290cfC7Ff62b7,68,3,1,70,5,2,70,0,0,73,5,2,70,5,2,70,0,0,5,0,0,2,0,0,1,0,0
0x5B40CF45C5135b4111827dA2F7f138A5c197904f,118,1,2,123,2,3,123,0,0,127,2,2,123,2,3,123,0,0,9,0,0,1,0,0,0,0,0
0xe87e15B9c7d989474Cb6d8c56b3DB4eFAD5b21E8,117,1,2,122,3,2,74,0,1,125,3,2,122,3,2,74,0,1,8,0,0,2,0,0,0,0,0
0x488a79012874953F439eFF6a14C8e5541B5eD843,108,2,2,109,4,2,98,0,0,112,4,2,109,4,2,98,0,0,4,0,0,2,0,0,0,0,0
0xEa699bce7603FCB8A26723e82Ade3a5fF82A735e,68,3,0,72,4,3,63,0,0,75,4,2,72,4,3,63,0,0,7,0,0,1,0,0,2,0,0
0x0309c98B1bffA350bcb3F9fB9780970CA32a5060,121,1,2,122,2,3,69,0,0,125,2,2,122,2,3,69,0,0,4,0,0,1,0,0,0,0,0
0xfEdd14eFEfd057DdC130816b41BF7B430EE17f60,104,1,1,108,3,3,72,0,0,113,3,2,108,3,3,72,0,0,9,0,0,2,0,0,1,0,0
0x76Ce27256865dA4C7f56b2079F0C37E32C61FEF8,591,1,2,595,2,2,7,0,1,598,2,2,595,2,2,7,0,1,7,0,0,1,0,0,0,0,0
0xddC0ccAE392984161603C984D6bD9f4Df62eB5aF,115,1,0,114,3,2,99,0,0,117,3,2,114,3,2,99,0,0,2,0,0,2,0,0,2,0,0
0x98edc8067Cc671BCAE82D36dCC609C3E4e078AC8,106,1,0,109,2,3,98,0,0,112,2,2,109,2,3,98,0,0,6,0,0,1,0,0,2,0,0
0xF74Bf048138a2B8F825ECCaBed9e02E481A0F6C0,67,1,2,68,3,3,68,0,0,71,3,2,68,3,3,68,0,0,4,0,0,2,0,0,0,0,0
0xF1F253047a4Cb1Dcd3170651CF7e133bC6C16dd4,50,1,1,54,2,2,2,0,0,58,2,2,54,2,2,2,0,0,8,0,0,1,0,0,1,0,0
0x74CB3c1938A15e532CC1b465e3B641C2c7e40C2b,154,1,2,154,3,2,116,0,0,157,3,2,154,3,2,116,0,0,3,0,0,2,0,0,0,0,0
0x687642347a9282Be8FD809d8309910A3f984Ac5a,280,1,0,285,3,2,68,0,1,288,3,2,285,3,2,68,0,1,8,0,0,2,0,0,2,0,0
0x01BFd82675DBCc7762C84019cA518e701C0cD07e,152,1,2,154,3,3,116,0,0,157,3,2,154,3,3,116,0,0,5,0,0,2,0,0,0,0,0
0xfa6de2697D59E88Ed7Fc4dFE5A33daC43565ea41,230,1,2,233,3,3,83,0,0,236,3,2,233,3,3,83,0,0,6,0,0,2,0,0,0,0,0
0xFa1429690208237a3169a09481A50315204804aC,61,1,0,63,2,3,63,0,1,66,2,2,63,2,3,63,0,1,5,0,0,1,0,0,2,0,0
0xc5B2f9AB661c485EeB35635D32A1746b6E09601b,58,3,3,63,4,3,63,0,0,66,4,3,63,4,3,63,0,0,8,0,0,1,0,0,0,0,0
0xCCA96D6185f6EEc79e6053C2F1398a5aE83e2EBE,116,2,0,122,4,2,120,0,0,125,4,2,122,4,2,120,0,0,9,0,0,2,0,0,2,0,0
0x1fE82f892D20412f4355F608Ef5d931D3717d692,296,2,2,301,4,3,228,0,0,303,4,2,301,4,3,228,0,0,7,0,0,2,0,0,0,0,0
0x135B032A6FEE8060Ec7C1c7C5fe1F25313a9B992,76,2,1,80,3,3,55,0,0,82,3,2,80,3,3,55,0,0,6,0,0,1,0,0,1,0,0
0x24384C4626EB895c99ea4225Af309aD22A75BE2F,105,2,2,105,3,3,56,0,0,107,3,2,105,3,3,56,0,0,2,0,0,1,0,0,0,0,0
0x3F18AB22298b5FAca652c267BF0b6A5bCa078bAc,158,1,2,164,3,3,112,0,2,167,3,2,164,3,3,112,0,2,9,0,0,2,0,0,0,0,0
0x4F438A2e7d060733f90775566AF040576bd441B0,117,2,0,122,4,2,120,0,0,125,4,2,122,4,2,120,0,0,8,0,0,2,0,0,2,0,0
0x4D417489510d749335b17687F510585D9A265dDB,199,2,1,199,3,3,5,0,0,201,3,2,199,3,3,5,0,0,2,0,0,1,0,0,1,0,0
0xCc323557c71C0D1D20a1861Dc69c06C5f3cC9624,301,3,2,301,5,2,228,0,0,303,5,2,301,5,2,228,0,0,2,0,0,2,0,0,0,0,0
0x556553093A3b7B4839eFeCc890e8065E3FC97C77,420,3,2,427,4,3,148,0,0,430,4,2,427,4,3,148,0,0,10,0,0,1,0,0,0,0,0
0x4a50862E3D648847D5C5ec014Ddd1e2b8db72d26,228,2,2,232,3,3,219,0,0,235,3,2,232,3,3,219,0,0,7,0,0,1,0,0,0,0,0
0xCBd5af4B8971b26471045Eec3902Bb3AcdE323db,63,3,2,63,4,2,63,0,0,66,4,2,63,4,2,63,0,0,3,0,0,1,0,0,0,0,0
0x2327a8A0bB927449967b73F68c766858Ea87154D,115,1,2,122,3,2,122,0,0,124,3,2,122,3,2,122,0,0,9,0,0,2,0,0,0,0,0
0xB60f415f5130cB97Dc489bEa1eA4214dA5b35d03,105,1,2,111,3,2,57,0,0,115,3,2,111,3,2,57,0,0,10,0,0,2,0,0,0,0,0
0x8ea8874192C8C715e620845F833f48f39B24e222,229,1,2,236,3,2,183,0,0,239,3,2,236,3,2,183,0,0,10,0,0,2,0,0,0,0,0
